customer_id,region,age_group,signup_date
C00001,Alberta,25-34,9/17/2024
C00002,Ontario,35-44,4/19/2023
C00003,Manitoba,25-34,3/15/2024
C00004,Quebec,35-44,12/3/2023
C00005,Quebec,55+,7/4/2023
C00006,Alberta,25-34,2/4/2023
C00007,Ontario,25-34,6/12/2024
C00008,Quebec,25-34,2/21/2024
C00009,Alberta,18-24,2/24/2023
C00010,BC,55+,1/7/2025
C00011,Quebec,25-34,10/19/2024
C00012,Alberta,55+,11/4/2024
C00013,Quebec,35-44,1/7/2025
C00014,Quebec,25-34,5/6/2025
C00015,Quebec,35-44,1/25/2024
C00016,Alberta,18-24,5/4/2024
C00017,Alberta,25-34,1/5/2024
C00018,Ontario,18-24,7/9/2023
C00019,Ontario,18-24,5/24/2024
C00020,BC,35-44,4/12/2023
C00021,Ontario,25-34,3/20/2024
C00022,BC,35-44,9/21/2024
C00023,BC,25-34,3/22/2024
C00024,BC,45-54,8/5/2023
C00025,BC,25-34,10/11/2024
C00026,Quebec,25-34,7/20/2024
C00027,Ontario,18-24,4/9/2024
C00028,Ontario,35-44,7/27/2023
C00029,BC,55+,8/15/2023
C00030,Quebec,25-34,3/6/2023
C00031,Ontario,35-44,9/19/2024
C00032,Ontario,35-44,12/6/2023
C00033,BC,25-34,5/10/2025
C00034,Quebec,25-34,2/21/2025
C00035,Alberta,18-24,4/10/2024
C00036,Ontario,55+,2/4/2024
C00037,Ontario,25-34,7/27/2023
C00038,BC,25-34,3/19/2024
C00039,Ontario,45-54,3/16/2024
C00040,Manitoba,18-24,3/16/2023
C00041,BC,35-44,6/10/2024
C00042,Ontario,18-24,3/28/2025
C00043,Manitoba,35-44,5/29/2023
C00044,BC,35-44,2/17/2023
C00045,BC,35-44,8/26/2023
C00046,BC,35-44,2/19/2024
C00047,BC,25-34,12/23/2023
C00048,BC,45-54,7/6/2023
C00049,Quebec,18-24,8/12/2023
C00050,Ontario,45-54,3/19/2023
C00051,Ontario,25-34,7/3/2024
C00052,Alberta,25-34,12/23/2024
C00053,Ontario,35-44,12/27/2024
C00054,Quebec,25-34,5/10/2024
C00055,Ontario,25-34,6/14/2023
C00056,Manitoba,35-44,2/2/2024
C00057,Ontario,25-34,3/3/2023
C00058,Ontario,25-34,12/10/2024
C00059,Quebec,35-44,2/16/2023
C00060,Alberta,35-44,10/1/2024
C00061,Quebec,25-34,1/5/2025
C00062,Quebec,35-44,3/11/2023
C00063,BC,45-54,3/17/2025
C00064,Ontario,18-24,4/18/2025
C00065,Ontario,55+,5/1/2025
C00066,BC,18-24,5/25/2024
C00067,BC,25-34,5/30/2025
C00068,Quebec,45-54,12/3/2023
C00069,Ontario,25-34,6/28/2024
C00070,Ontario,35-44,3/29/2025
C00071,BC,18-24,2/14/2023
C00072,Alberta,25-34,2/3/2023
C00073,Ontario,35-44,2/16/2023
C00074,Alberta,35-44,12/17/2024
C00075,BC,18-24,2/6/2023
C00076,Ontario,18-24,6/3/2025
C00077,Quebec,25-34,1/10/2025
C00078,Quebec,25-34,5/11/2023
C00079,BC,25-34,3/27/2024
C00080,Ontario,45-54,4/24/2025
C00081,Ontario,35-44,2/16/2025
C00082,Quebec,18-24,10/22/2024
C00083,BC,35-44,8/13/2024
C00084,Manitoba,25-34,4/11/2024
C00085,Quebec,18-24,3/13/2023
C00086,Ontario,35-44,4/28/2023
C00087,BC,45-54,11/7/2023
C00088,Ontario,35-44,8/26/2023
C00089,Quebec,55+,4/14/2025
C00090,Alberta,18-24,7/29/2024
C00091,Ontario,35-44,12/22/2024
C00092,Quebec,18-24,9/15/2023
C00093,Quebec,55+,10/16/2023
C00094,BC,25-34,7/4/2024
C00095,Quebec,55+,7/30/2024
C00096,BC,25-34,7/12/2023
C00097,Ontario,45-54,11/12/2023
C00098,Quebec,55+,1/17/2023
C00099,Alberta,25-34,4/24/2025
C00100,Ontario,45-54,4/7/2023
C00101,BC,45-54,4/1/2023
C00102,BC,35-44,11/10/2023
C00103,Alberta,35-44,4/6/2023
C00104,Quebec,25-34,1/6/2023
C00105,Alberta,25-34,1/18/2024
C00106,Ontario,18-24,7/16/2024
C00107,Ontario,35-44,12/7/2024
C00108,Quebec,18-24,4/3/2023
C00109,Quebec,25-34,4/3/2025
C00110,Quebec,25-34,5/19/2023
C00111,Ontario,25-34,8/6/2023
C00112,Ontario,35-44,5/17/2025
C00113,Manitoba,25-34,1/7/2023
C00114,BC,25-34,3/9/2024
C00115,Ontario,18-24,11/28/2024
C00116,Ontario,35-44,2/3/2023
C00117,Ontario,25-34,6/21/2025
C00118,BC,18-24,5/10/2023
C00119,Ontario,35-44,11/5/2024
C00120,Manitoba,25-34,12/21/2024
C00121,Ontario,18-24,10/19/2023
C00122,Quebec,18-24,2/15/2024
C00123,Manitoba,35-44,9/11/2024
C00124,Ontario,45-54,10/27/2024
C00125,Ontario,45-54,4/17/2025
C00126,Quebec,18-24,8/6/2024
C00127,BC,25-34,2/22/2025
C00128,Alberta,25-34,9/20/2023
C00129,Quebec,45-54,10/9/2024
C00130,Quebec,45-54,5/3/2023
C00131,BC,55+,1/1/2023
C00132,Ontario,25-34,4/9/2024
C00133,Ontario,18-24,1/1/2025
C00134,BC,45-54,4/14/2023
C00135,Ontario,18-24,1/9/2024
C00136,Ontario,45-54,8/8/2024
C00137,BC,25-34,8/20/2024
C00138,BC,55+,5/2/2024
C00139,Alberta,25-34,2/1/2023
C00140,Alberta,25-34,10/11/2023
C00141,Alberta,18-24,2/21/2023
C00142,Alberta,35-44,6/10/2023
C00143,Ontario,18-24,9/6/2024
C00144,BC,18-24,2/24/2025
C00145,Ontario,35-44,5/4/2025
C00146,Quebec,25-34,12/26/2023
C00147,Quebec,55+,8/27/2024
C00148,BC,25-34,10/23/2024
C00149,Quebec,25-34,1/1/2024
C00150,Quebec,25-34,8/22/2023
C00151,BC,25-34,3/9/2024
C00152,Manitoba,45-54,9/4/2023
C00153,BC,45-54,2/2/2024
C00154,Ontario,25-34,5/1/2023
C00155,Ontario,18-24,6/19/2023
C00156,Alberta,25-34,7/28/2023
C00157,Alberta,45-54,7/17/2023
C00158,Quebec,25-34,4/13/2023
C00159,Alberta,45-54,6/2/2025
C00160,Ontario,45-54,9/22/2024
C00161,Manitoba,45-54,8/31/2023
C00162,Quebec,35-44,3/20/2025
C00163,Quebec,18-24,3/19/2023
C00164,Quebec,35-44,6/6/2023
C00165,Quebec,25-34,5/3/2024
C00166,BC,35-44,2/18/2023
C00167,Ontario,25-34,2/19/2025
C00168,BC,35-44,2/24/2024
C00169,Ontario,18-24,7/5/2024
C00170,Alberta,45-54,4/25/2023
C00171,Ontario,25-34,2/10/2024
C00172,Quebec,55+,2/25/2025
C00173,BC,25-34,7/31/2024
C00174,Ontario,25-34,2/13/2023
C00175,Quebec,18-24,7/3/2023
C00176,Alberta,55+,9/6/2023
C00177,Ontario,25-34,5/31/2023
C00178,Quebec,35-44,10/6/2023
C00179,BC,25-34,7/5/2023
C00180,Alberta,25-34,12/9/2023
C00181,Quebec,35-44,5/10/2024
C00182,Quebec,25-34,6/22/2023
C00183,Ontario,25-34,2/26/2025
C00184,BC,35-44,12/19/2023
C00185,Manitoba,25-34,6/27/2025
C00186,Ontario,18-24,9/14/2024
C00187,Ontario,35-44,9/16/2023
C00188,Ontario,18-24,12/30/2024
C00189,Ontario,35-44,9/25/2024
C00190,Alberta,35-44,7/15/2023
C00191,Quebec,25-34,11/18/2024
C00192,Ontario,25-34,4/4/2025
C00193,Quebec,25-34,4/10/2024
C00194,Quebec,45-54,12/15/2024
C00195,Ontario,25-34,5/21/2025
C00196,Ontario,45-54,11/24/2023
C00197,Quebec,18-24,4/23/2023
C00198,BC,25-34,5/30/2024
C00199,Ontario,45-54,12/25/2023
C00200,Ontario,35-44,9/30/2023
C00201,BC,18-24,6/28/2025
C00202,Ontario,25-34,1/21/2023
C00203,Ontario,18-24,5/7/2023
C00204,BC,18-24,5/13/2025
C00205,Quebec,25-34,11/24/2024
C00206,Quebec,45-54,4/28/2025
C00207,Manitoba,25-34,3/11/2024
C00208,Alberta,35-44,6/3/2024
C00209,BC,25-34,2/7/2023
C00210,Ontario,25-34,2/4/2023
C00211,Alberta,18-24,11/13/2023
C00212,Quebec,18-24,7/15/2024
C00213,Manitoba,35-44,7/14/2023
C00214,Quebec,18-24,12/27/2023
C00215,Alberta,35-44,6/7/2025
C00216,Ontario,45-54,7/10/2024
C00217,Ontario,25-34,2/26/2025
C00218,Ontario,45-54,5/23/2023
C00219,Quebec,35-44,11/22/2024
C00220,BC,45-54,3/21/2025
C00221,BC,45-54,8/27/2024
