transaction_id,customer_id,date,amount,service_type
T0000001,C01838,2/3/2025,106.94,Bills
T0000002,C01950,1/25/2025,111.86,Airtime
T0000003,C02207,1/13/2024,19.64,Savings
T0000004,C00740,11/16/2024,92,Transfers
T0000005,C01939,2/13/2025,39,Airtime
T0000006,C02216,1/2/2025,27.83,Transfers
T0000007,C01178,3/21/2024,75.41,Lending
T0000008,C02932,2/29/2024,138.31,Transfers
T0000009,C02245,11/28/2024,123.15,Transfers
T0000010,C02874,2/24/2025,40.65,Transfers
T0000011,C00713,3/19/2025,77.08,Bills
T0000012,C02978,7/28/2024,43.71,Lending
T0000013,C01190,4/23/2024,50.29,Lending
T0000014,C02801,6/29/2025,75.28,Bills
T0000015,C01853,7/8/2024,46.06,Airtime
T0000016,C01489,9/3/2024,62.33,Airtime
T0000017,C00200,6/9/2024,44.99,Savings
T0000018,C02454,10/25/2024,84.18,Savings
T0000019,C01805,6/17/2024,55.37,Lending
T0000020,C01007,4/14/2024,138.43,Airtime
T0000021,C02596,2/11/2025,55.17,Transfers
T0000022,C02846,10/26/2024,54.36,Bills
T0000023,C00769,10/13/2024,31.39,Transfers
T0000024,C02711,9/20/2024,22.2,Transfers
T0000025,C00652,3/18/2024,71.6,Bills
T0000026,C00994,3/20/2025,57.58,Transfers
T0000027,C00917,8/23/2024,53.75,Transfers
T0000028,C02329,8/21/2024,24.73,Bills
T0000029,C02422,7/1/2024,60.14,Savings
T0000030,C00681,6/24/2025,132.05,Transfers
T0000031,C02669,8/20/2024,49.33,Airtime
T0000032,C01460,7/26/2024,56.84,Bills
T0000033,C00616,3/1/2025,58.59,Bills
T0000034,C02651,8/10/2024,17.83,Savings
T0000035,C02347,3/14/2024,62.18,Transfers
T0000036,C01921,5/28/2024,69.93,Transfers
T0000037,C00334,5/2/2024,24.03,Airtime
T0000038,C02905,12/20/2024,62.05,Lending
T0000039,C02129,1/6/2025,47.18,Transfers
T0000040,C01246,4/24/2025,69.13,Bills
T0000041,C02225,1/21/2024,38.77,Airtime
T0000042,C00722,4/13/2024,176.88,Transfers
T0000043,C00040,4/16/2024,54.95,Bills
T0000044,C00209,8/1/2024,53.68,Transfers
T0000045,C02966,11/26/2024,77.14,Transfers
T0000046,C02433,9/29/2024,78.02,Lending
T0000047,C00878,10/11/2024,28.96,Airtime
T0000048,C00444,7/31/2024,54.02,Bills
T0000049,C01566,5/28/2024,44.24,Airtime
T0000050,C01368,9/23/2024,37.98,Bills
T0000051,C00015,9/25/2024,112.24,Lending
T0000052,C02370,1/25/2025,91.31,Bills
T0000053,C02855,5/15/2025,79.35,Lending
T0000054,C00753,2/22/2025,32.85,Transfers
T0000055,C00945,1/9/2024,39.24,Transfers
T0000056,C02018,6/1/2025,54.95,Bills
T0000057,C01856,5/15/2024,102.32,Savings
T0000058,C01976,4/1/2025,64.2,Transfers
T0000059,C00927,5/20/2024,56.69,Transfers
T0000060,C01510,9/29/2024,28.37,Transfers
